2022-03-03 05:02:55.567192|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:02:55.567430|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:02:57.071260|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:02:57.071331|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:02:59.113523|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:02:59.113601|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:12:55.656860|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:12:55.657109|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:12:57.060559|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:12:57.060625|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:12:59.066069|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:12:59.066162|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:22:55.730250|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:22:55.730499|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:22:57.034198|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:22:57.034300|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:22:59.039227|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:22:59.039301|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:32:55.781963|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:32:55.782262|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:32:57.085815|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:32:57.085893|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:32:59.090671|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:32:59.090765|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:42:55.851909|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:42:55.852224|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:42:57.055613|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:42:57.055694|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:42:59.092475|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:42:59.092538|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:52:55.950202|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:52:55.951293|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:52:57.054473|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:52:57.054562|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 05:52:59.059070|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 05:52:59.059140|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:02:55.996700|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:02:55.996917|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:02:57.100095|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:02:57.100174|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:02:59.004758|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:02:59.004840|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:12:56.061279|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:12:56.061518|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:12:58.067170|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:12:58.067267|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:13:00.071620|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:13:00.071692|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:22:56.115471|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:22:56.115703|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:22:58.069935|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:22:58.070031|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:23:00.074244|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:23:00.074318|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:32:56.164211|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:32:56.164451|ERROR   |              |   |TS3ANetwork::Send failed error: 111
